values,name,day,,
16533.12225,jacobi,675,,
18414.87061,jacobi,676,,
20268.26149,jacobi,677,,
22180.1662,jacobi,678,,
24083.01885,jacobi,679,,
25938.00582,jacobi,680,,
27739.7205,jacobi,681,,
29499.17482,jacobi,682,,
31175.46691,jacobi,683,,
32726.82736,jacobi,684,,
34132.58754,jacobi,685,,
35420.36422,jacobi,686,,
36582.19244,jacobi,687,,
37550.25841,jacobi,688,,
38339.81543,jacobi,689,,
38904.67463,jacobi,690,,
39303.27972,jacobi,691,,
39511.62895,jacobi,692,,
39466.66793,jacobi,693,,
39269.04918,jacobi,694,,
38838.17551,jacobi,695,,
38228.78832,jacobi,696,,
37405.57242,jacobi,697,,
36421.07727,jacobi,698,,
35262.77728,jacobi,699,,
33976.31377,jacobi,700,,
32535.70599,jacobi,701,,
30974.18808,jacobi,702,,
29329.47965,jacobi,703,,
27607.84488,jacobi,704,,
25816.63103,jacobi,705,,
24011.06539,jacobi,706,,
22174.51287,jacobi,707,,
20356.69787,jacobi,708,,
18567.27839,jacobi,709,,
16815.1168,jacobi,710,,
15159.36337,jacobi,711,,
13561.47264,jacobi,712,,
12062.92026,jacobi,713,,
10666.66412,jacobi,714,,
9398.21223,jacobi,715,,
8258.091199,jacobi,716,,
7248.612501,jacobi,717,,
6376.628717,jacobi,718,,
5638.1422,jacobi,719,,
5037.796823,jacobi,720,,
4557.514371,jacobi,721,,
4205.960606,jacobi,722,,
3960.785203,jacobi,723,,
3831.438957,jacobi,724,,
3783.284789,jacobi,725,,
3821.682993,jacobi,726,,
3924.670694,jacobi,727,,
4070.071697,jacobi,728,,
4266.490381,jacobi,729,,
4474.074887,jacobi,730,,
4694.029238,jacobi,731,,
4911.889196,jacobi,732,,
5106.529474,jacobi,733,,
5281.432559,jacobi,734,,
5413.668765,jacobi,735,,
5505.226259,jacobi,736,,
5541.328601,jacobi,737,,
5529.76776,jacobi,738,,
5460.442576,jacobi,739,,
5334.504047,jacobi,740,,
5156.333582,jacobi,741,,
4928.553288,jacobi,742,,
4654.209099,jacobi,743,,
4344.635816,jacobi,744,,
4005.150528,jacobi,745,,
3643.696911,jacobi,746,,
3271.444818,jacobi,747,,
2896.210589,jacobi,748,,
2532.231169,jacobi,749,,
2183.935992,jacobi,750,,
1863.534206,jacobi,751,,
1578.068259,jacobi,752,,
1333.858659,jacobi,753,,
1135.937046,jacobi,754,,
990.7067347,jacobi,755,,
899.1614518,jacobi,756,,
861.9664101,jacobi,757,,
878.6231907,jacobi,758,,
946.9175658,jacobi,759,,
1062.865291,jacobi,760,,
1220.496178,jacobi,761,,
1412.491559,jacobi,762,,
1631.281158,jacobi,763,,
1868.471014,jacobi,764,,
2115.672563,jacobi,765,,
2361.791378,jacobi,766,,
2598.737915,jacobi,767,,
2817.685281,jacobi,768,,
3010.46749,jacobi,769,,
3170.071728,jacobi,770,,
3290.891176,jacobi,771,,
3368.358618,jacobi,772,,
3400.009106,jacobi,773,,
3384.802422,jacobi,774,,
3323.69265,jacobi,775,,
3218.670045,jacobi,776,,
3073.864091,jacobi,777,,
2895.303657,jacobi,778,,
2689.651591,jacobi,779,,
2464.701172,jacobi,780,,
2229.183269,jacobi,781,,
1992.242517,jacobi,782,,
1762.879246,jacobi,783,,
1550.039827,jacobi,784,,
1361.877492,jacobi,785,,
